Species	Megaptera novaeangliae			
Mnov3584	North	2		
Mnov3585	North	2		
Mnov3586	North	2		
Mnov3587	North	2		
Mnov3588	North	2		
Mnov3589	North	2		
Mnov3590	North	2		
Mnov3591	North	2		
Mnov3592	North	2		
Mnov3593	North	2		
Mnov3594	North	2		
Mnov3595	North	2		
Mnov3596	North	2		
Mnov3597	North	2		
Mnov3598	North	2		
Mnov3599	North	2		
Mnov3600	North	2		
Mnov3601	North	2		
Mnov3602	North	2		
Mnov3603	North	2		
Mnov3604	North	2		
Mnov3605	North	2		
Mnov3606	North	2		
Mnov3607	North	2		
Mnov3608	North	2		
Mnov3609	North	2		
Mnov3610	North	2		
Mnov3611	North	2		
Mnov3612	North	2		
Mnov3613	North	2		
Mnov3614	North	2		
Mnov3615	North	2		
Mnov3616	North	2		
Mnov3617	North	2		
Mnov3618	North	2		
Mnov3619	North	2		
Mnov3620	North	2		
Mnov3621	North	2		
Mnov3622	North	2		
Mnov3623	North	2		
Mnov3624	North	2		
Mnov3625	North	2		
Mnov3626	North	2		
Mnov3627	North	2		
Mnov3628	North	2		
Mnov3629	North	2		
Mnov3630	North	2		
Mnov3631	North	2		
Mnov3632	North	2		
Mnov3633	North	2		
Mnov3634	North	2		
Mnov3635	North	2		
Mnov3636	North	2		
Mnov3637	North	2		
Mnov3638	North	2		
Mnov3639	North	2		
Mnov3640	North	2		
Mnov3641	North	2		
Mnov3642	North	2		
Mnov3643	North	2		
Mnov3644	North	2		
Mnov3645	North	2		
Mnov3646	North	2		
Mnov3647	North	2		
Mnov3648	North	2		
Mnov3649	North	2		
Mnov3650	North	2		
Mnov3651	North	2		
Mnov3652	North	2		
Mnov3653	North	2		
Mnov3654	North	2		
Mnov3655	North	2		
Mnov3656	North	2		
Mnov3657	North	2		
Mnov3658	North	2		
Mnov3659	North	2		
Mnov3660	North	2		
Mnov3661	North	2		
Mnov3662	North	2		
Mnov3663	North	2		
Mnov3664	North	2		
Mnov3665	North	2		
Mnov3666	North	2		
Mnov3667	North	2		
Mnov3668	North	2		
Mnov3669	North	2		
Mnov3670	North	2		
Mnov3671	North	2		
Mnov3672	North	2		
Mnov3673	North	2		
Mnov3674	North	2		
Mnov3675	North	2		
Mnov3676	North	2		
Mnov3677	North	2		
Mnov3678	North	2		
Mnov3679	North	2		
Mnov3680	North	2		
Mnov3681	North	2		
Mnov3682	North	2		
Mnov3683	North	2		
Mnov3684	North	2		
Mnov3685	North	2		
Mnov3686	North	2		
Mnov3687	North	2		
Mnov3688	North	2		
Mnov3689	North	2		
Mnov3690	North	2		
Mnov3691	North	2		
Mnov3692	North	2		
Mnov3693	North	2		
Mnov3694	North	2		
Mnov3695	North	2		
Mnov3696	North	2		
Mnov3697	North	2		
Mnov3698	North	2		
Mnov3699	North	2		
Mnov3700	North	2		
Mnov3701	North	2		
Mnov3702	North	2		
Mnov3703	North	2		
Mnov3704	North	2		
Mnov3705	North	2		
Mnov3706	North	2		
Mnov3707	North	2		
Mnov3708	North	2		
Mnov3709	North	2		
Mnov3710	North	2		
Mnov3711	North	2		
Mnov3712	North	2		
Mnov3713	North	2		
Mnov3714	North	2		
Mnov3715	North	2		
Mnov3716	North	2		
Mnov3717	North	2		
Mnov3718	North	2		
Mnov3719	North	2		
Mnov3720	North	2		
Mnov3721	North	2		
Mnov3722	North	2		
Mnov3723	North	2		
Mnov3724	North	2		
Mnov3725	North	2		
Mnov3726	North	2		
Mnov3727	North	2		
Mnov3728	North	2		
Mnov3729	North	2		
Mnov3730	North	2		
Mnov3731	North	2		
Mnov3732	North	2		
Mnov3733	North	2		
Mnov3734	North	2		
Mnov3735	North	2		
Mnov3736	North	2		
Mnov3737	North	2		
Mnov3738	North	2		
Mnov3739	North	2		
Mnov3740	North	2		
Mnov3741	North	2		
Mnov3742	North	2		
Mnov3743	North	2		
Mnov3744	North	2		
Mnov3745	North	2		
Mnov3746	North	2		
Mnov3747	North	2		
Mnov3748	North	2		
Mnov3749	North	2		
Mnov3750	North	2		
Mnov3751	North	2		
Mnov3752	North	2		
Mnov3753	North	2		
Mnov3754	North	2		
Mnov3755	North	2		
Mnov3756	North	2		
Mnov3757	North	2		
Mnov3758	North	2		
Mnov3759	North	2		
Mnov3760	North	2		
Mnov3761	North	2		
Mnov3762	North	2		
Mnov3763	North	2		
Mnov3764	North	2		
Mnov3765	North	2		
Mnov3766	North	2		
Mnov3767	North	2		
Mnov3768	North	2		
Mnov3769	North	2		
Mnov3770	North	2		
Mnov3771	North	2		
Mnov3772	North	2		
Mnov3773	North	2		
Mnov3774	North	2		
Mnov3775	North	2		
Mnov3776	North	2		
Mnov3777	North	2		
Mnov3778	North	2		
Mnov3779	North	2		
Mnov3780	North	2		
Mnov3781	North	2		
Mnov3782	North	2		
Mnov3783	North	2		
Mnov3784	North	2		
Mnov3785	North	2		
Mnov3786	North	2		
Mnov3787	North	2		
Mnov3788	North	2		
Mnov3789	North	2		
Mnov3790	North	2		
Mnov3791	North	2		
Mnov3792	North	2		
Mnov3793	North	2		
Mnov3794	North	2		
Mnov3795	North	2		
Mnov3796	North	2		
Mnov3797	North	2		
Mnov3798	North	2		
Mnov3799	North	2		
Mnov3800	North	2		
Mnov3801	North	2		
Mnov3802	North	2		
Mnov3803	North	2		
Mnov3804	North	2		
Mnov3805	North	2		
Mnov3806	North	2		
Mnov3807	North	2		
Mnov3808	North	2		
Mnov3809	North	2		
Mnov3810	North	2		
Mnov3811	North	2		
Mnov3812	North	2		
Mnov3813	North	2		
Mnov3814	North	2		
Mnov3815	North	2		
Mnov3816	North	2		
Mnov3817	North	2		
Mnov3818	North	2		
Mnov3819	North	2		
Mnov3820	North	2		
Mnov3821	North	2		
Mnov3822	North	2		
Mnov3823	North	2		
Mnov3824	North	2		
Mnov3825	North	2		
Mnov3826	North	2		
Mnov3827	North	2		
Mnov3828	North	2		
Mnov3829	North	2		
Mnov3830	North	2		
Mnov3831	North	2		
Mnov3832	North	2		
Mnov3833	North	2		
Mnov3834	North	2		
Mnov3835	North	2		
Mnov3836	North	2		
Mnov3837	North	2		
Mnov3838	North	2		
Mnov3839	North	2		
Mnov3840	North	2		
Mnov3841	North	2		
Mnov3842	North	2		
Mnov3843	North	2		
Mnov3844	North	2		
Mnov3845	North	2		
Mnov3846	North	2		
Mnov3847	North	2		
Mnov3848	North	2		
Mnov3849	North	2		
Mnov3850	North	2		
Mnov3851	North	2		
Mnov3852	North	2		
Mnov3853	North	2		
Mnov3854	North	2		
Mnov3855	North	2		
Mnov3856	North	2		
Mnov3857	North	2		
Mnov3858	North	2		
Mnov3859	North	2		
Mnov3860	North	2		
Mnov3861	North	2		
Mnov3862	North	2		
Mnov3863	North	2		
Mnov3864	North	2		
Mnov3865	North	2		
Mnov3866	North	2		
Mnov3867	North	2		
Mnov3868	North	2		
Mnov3869	North	2		
Mnov3870	North	2		
Mnov3871	North	2		
Mnov3872	North	2		
Mnov3873	North	2		
Mnov3874	North	2		
Mnov3875	North	2		
Mnov3876	North	2		
Mnov3877	North	2		
Mnov3878	North	2		
Mnov3879	North	2		
Mnov3880	North	2		
Mnov3881	North	2		
Mnov3882	North	2		
Mnov3883	North	2		
Mnov3884	North	2		
Mnov3885	North	2		
Mnov3886	North	2		
Mnov3887	North	2		
Mnov3888	North	2		
Mnov3889	North	2		
Mnov3890	North	2		
Mnov3891	North	2		
Mnov3892	North	2		
Mnov3893	North	2		
Mnov3894	North	2		
Mnov3895	North	2		
Mnov3896	North	2		
Mnov3897	North	2		
Mnov3898	North	2		
Mnov3899	North	2		
Mnov3900	North	2		
Mnov3901	North	2		
Mnov3902	North	2		
Mnov3903	North	2		
Mnov3904	North	2		
Mnov3905	North	2		
Mnov3906	North	2		
Mnov3907	North	2		
Mnov3908	North	2		
Mnov3909	North	2		
Mnov3910	North	2		
Mnov3911	North	2		
Mnov3912	North	2		
Mnov3913	North	2		
Mnov3914	North	2		
Mnov3915	North	2		
Mnov3916	North	2		
Mnov3917	North	2		
Mnov3918	North	2		
Mnov3919	North	2		
Mnov3920	North	2		
Mnov3921	North	2		
Mnov3922	North	2		
Mnov3923	North	2		
Mnov3924	North	2		
Mnov3925	North	2		
Mnov3926	North	2		
Mnov3927	North	2		
Mnov3928	North	2		
Mnov3929	North	2		
Mnov3930	North	2		
Mnov3931	North	2		
Mnov3932	North	2		
Mnov3933	North	2		
Mnov3934	North	2		
Mnov3935	North	2		
Mnov3936	North	2		
Mnov3937	North	2		
Mnov3938	North	2		
Mnov3939	North	2		
Mnov3940	North	2		
Mnov3941	North	2		
Mnov3942	North	2		
Mnov3943	North	2		
Mnov3944	North	2		
Mnov3945	North	2		
Mnov3946	North	2		
Mnov3947	North	2		
Mnov3948	North	2		
Mnov3949	North	2		
Mnov3950	North	2		
Mnov3951	North	2		
Mnov3952	North	2		
Mnov3953	North	2		
Mnov3954	North	2		
Mnov3955	North	2		
Mnov3956	North	2		
Mnov3957	North	2		
Mnov3958	North	2		
Mnov3959	North	2		
Mnov3960	North	2		
Mnov3961	North	2		
Mnov3962	North	2		
Mnov3963	North	2		
Mnov3964	North	2		
Mnov3965	North	2		
Mnov3966	North	2		
Mnov3967	North	2		
Mnov3968	North	2		
Mnov3969	North	2		
Mnov3970	North	2		
Mnov3971	North	2		
Mnov3972	North	2		
Mnov3973	North	2		
Mnov3974	North	2		
Mnov3975	North	2		
Mnov3976	North	2		
Mnov3977	North	2		
Mnov3978	North	2		
Mnov3979	North	2		
Mnov3980	North	2		
Mnov3981	North	2		
Mnov3982	North	2		
Mnov3983	North	2		
Mnov3984	North	2		
Mnov3985	North	2		
Mnov3986	North	2		
Mnov3987	North	2		
Mnov3988	North	2		
Mnov3989	North	2		
Mnov3990	North	2		
Mnov3991	North	2		
Mnov3992	North	2		
Mnov3993	North	2		
Mnov3994	North	2		
Mnov3995	North	2		
Mnov3996	North	2		
Mnov3997	North	2		
Mnov3998	North	2		
Mnov3999	North	2		
Mnov4000	North	2		
Mnov4001	North	2		
Mnov4002	North	2		
Mnov4003	North	2		
Mnov4004	North	2		
Mnov4005	North	2		
Mnov4006	North	2		
Mnov4007	North	2		
Mnov4008	North	2		
Mnov4009	North	2		
Mnov4010	North	2		
Mnov4011	North	2		
Mnov4012	North	2		
Mnov4013	North	2		
Mnov4014	North	2		
Mnov4015	North	2		
Mnov4016	North	2		
Mnov4017	North	2		
Mnov4018	North	2		
Mnov4019	North	2		
Mnov4020	North	2		
Mnov4021	North	2		
Mnov4022	North	2		
Mnov4023	North	2		
Mnov4024	North	2		
Mnov4025	North	2		
Mnov4026	North	2		
Mnov4027	North	2		
Mnov4028	North	2		
Mnov4029	North	2		
Mnov4030	North	2		
Mnov4031	North	2		
Mnov4032	North	2		
Mnov4033	North	2		
Mnov4034	North	2		
Mnov4035	North	2		
Mnov4036	North	2		
Mnov4037	North	2		
Mnov4038	North	2		
Mnov4039	North	2		
Mnov4040	North	2		
Mnov4041	North	2		
Mnov4042	North	2		
Mnov4043	North	2		
Mnov4044	North	2		
Mnov4045	North	2		
Mnov4046	North	2		
Mnov4047	North	2		
Mnov4048	North	2		
Mnov4049	North	2		
Mnov4050	North	2		
Mnov4051	North	2		
Mnov4052	North	2		
Mnov4053	North	2		
Mnov4054	North	2		
Mnov4055	North	2		
Mnov4056	North	2		
Mnov4057	North	2		
Mnov4058	North	2		
Mnov4059	North	2		
Mnov4060	North	2		
Mnov4061	North	2		
Mnov4062	North	2		
Mnov4063	North	2		
Mnov4064	North	2		
Mnov4065	North	2		
Mnov4066	North	2		
Mnov4067	North	2		
Mnov4068	North	2		
Mnov4069	North	2		
Mnov4070	North	2		
Mnov4071	North	2		
Mnov4072	North	2		
Mnov4073	North	2		
Mnov4074	North	2		
Mnov4075	North	2		
Mnov4076	North	2		
Mnov4077	North	2		
Mnov4078	North	2		
Mnov4079	North	2		
Mnov4080	North	2		
Mnov4081	North	2		
Mnov4082	North	2		
Mnov4083	North	2		
Mnov4084	North	2		
Mnov4085	North	2		
Mnov4086	North	2		
Mnov4087	North	2		
Mnov4088	North	2		
Mnov4089	North	2		
Mnov4090	North	2		
Mnov4091	North	2		
Mnov4092	North	2		
Mnov4093	North	2		
Mnov4094	North	2		
Mnov4095	North	2		
Mnov4096	North	2		
Mnov4097	North	2		
Mnov4098	North	2		
Mnov4099	North	2		
Mnov4100	North	2		
Mnov4101	North	2		
Mnov4102	North	2		
Mnov4103	North	2		
Mnov4104	North	2		
Mnov4105	North	2		
Mnov4106	North	2		
Mnov4107	North	2		
Mnov4108	North	2		
Mnov4109	North	2		
Mnov4110	North	2		
Mnov4111	North	2		
Mnov4112	North	2		
Mnov4113	North	2		
Mnov4114	North	2		
Mnov4115	North	2		
Mnov4116	North	2		
Mnov4117	North	2		
Mnov4118	North	2		
Mnov4119	North	2		
Mnov4120	North	2		
Mnov4121	North	2		
Mnov4122	North	2		
Mnov4123	North	2		
Mnov4124	North	2		
Mnov4125	North	2		
Mnov4126	North	2		
Mnov4127	North	2		
Mnov4128	North	2		
Mnov4129	North	2		
Mnov4130	North	2		
Mnov4131	North	2		
Mnov4132	North	2		
Mnov4133	North	2		
Mnov4134	North	2		
Mnov4135	North	2		
Mnov4136	North	2		
Mnov4137	North	2		
Mnov4138	North	2		
Mnov4139	North	2		
Mnov4140	North	2		
Mnov4141	North	2		
Mnov4142	North	2		
Mnov4143	North	2		
Mnov4144	North	2		
Mnov4145	North	2		
Mnov4146	North	2		
Mnov4147	North	2		
Mnov4148	North	2		
Mnov4149	North	2		
Mnov4150	North	2		
Mnov4151	North	2		
Mnov4152	North	2		
Mnov4153	North	2		
Mnov4154	North	2		
Mnov4155	North	2		
Mnov4156	North	2		
Mnov4157	North	2		
Mnov4158	North	2		
Mnov4159	North	2		
Mnov4160	North	2		
Mnov4161	North	2		
Mnov4162	North	2		
Mnov4163	North	2		
Mnov4164	North	2		
Mnov4165	North	2		
Mnov4166	North	2		
Mnov4167	North	2		
Mnov4168	North	2		
Mnov4169	North	2		
Mnov4170	North	2		
Mnov4171	North	2		
Mnov4172	North	2		
Mnov4173	North	2		
Mnov4174	North	2		
Mnov4175	North	2		
Mnov4176	North	2		
Mnov4177	North	2		
Mnov4178	North	2		
Mnov4179	North	2		
Mnov4180	North	2		
Mnov4181	North	2		
Mnov4182	North	2		
Mnov4183	North	2		
Mnov4184	North	2		
Mnov4185	North	2		
Mnov4186	North	2		
Mnov4187	North	2		
Mnov4188	North	2		
Mnov4189	North	2		
Mnov4190	North	2		
Mnov4191	North	2		
Mnov4192	North	2		
Mnov4193	North	2		
Mnov4194	North	2		
Mnov4195	North	2		
Mnov4196	North	2		
Mnov4197	North	2		
Mnov4198	North	2		
Mnov4199	North	2		
Mnov4200	North	2		
Mnov4201	North	2		
Mnov4202	North	2		
Mnov4203	North	2		
Mnov4204	North	2		
Mnov4205	North	2		
Mnov4206	North	2		
Mnov4207	North	2		
Mnov4208	North	2		
Mnov4209	North	2		
Mnov4210	North	2		
Mnov4211	North	2		
Mnov4212	North	2		
Mnov4213	North	2		
Mnov4214	North	2		
Mnov4215	North	2		
Mnov4216	North	2		
Mnov4217	North	2		
Mnov4218	North	2		
Mnov4219	North	2		
Mnov4220	North	2		
Mnov4221	North	2		
Mnov4222	North	2		
Mnov4223	North	2		
Mnov4224	North	2		
Mnov4225	North	2		
Mnov4226	North	2		
Mnov4227	North	2		
Mnov4228	North	2		
Mnov4229	North	2		
Mnov4230	North	2		
Mnov4231	North	2		
Mnov4232	North	2		
Mnov4233	North	2		
Mnov4234	North	2		
Mnov4235	North	2		
Mnov4236	North	2		
Mnov4237	North	2		
Mnov4238	North	2		
Mnov4239	North	2		
Mnov4240	North	2		
Mnov4241	North	2		
Mnov4242	North	2		
Mnov4243	North	2		
Mnov4244	North	2		
Mnov4245	North	2		
Mnov4246	North	2		
Mnov4247	North	2		
Mnov4248	North	2		
Mnov4249	North	2		
Mnov4250	North	2		
Mnov4251	North	2		
Mnov4252	North	2		
Mnov4253	North	2		
Mnov4254	North	2		
Mnov4255	North	2		
Mnov4256	North	2		
Mnov4257	North	2		
Mnov4258	North	2		
Mnov4259	North	2		
Mnov4260	North	2		
Mnov4261	North	2		
Mnov4262	North	2		
Mnov4263	North	2		
Mnov4264	North	2		
Mnov4265	North	2		
Mnov4266	North	2		
Mnov4267	North	2		
Mnov4268	North	2		
Mnov4269	North	2		
Mnov4270	North	2		
Mnov4271	North	2		
Mnov4272	North	2		
Mnov4273	North	2		
Mnov4274	North	2		
Mnov4275	North	2		
Mnov4276	North	2		
Mnov4277	North	2		
Mnov4278	North	2		
Mnov4279	North	2		
Mnov4280	North	2		
Mnov4281	North	2		
Mnov4282	North	2		
Mnov4283	North	2		
Mnov4284	North	2		
Mnov4285	North	2		
Mnov4286	North	2		
Mnov4287	North	2		
Mnov4288	North	2		
Mnov4289	North	2		
Mnov4290	North	2		
Mnov4291	North	2		
Mnov4292	North	2		
Mnov4293	North	2		
Mnov4294	North	2		
Mnov4295	North	2		
Mnov4296	North	2		
Mnov4297	North	2		
Mnov4298	North	2		
Mnov4299	North	2		
Mnov4300	North	2		
Mnov4301	North	2		
Mnov4302	North	2		
Mnov4303	North	2		
Mnov4304	North	2		
Mnov4305	North	2		
Mnov4306	North	2		
Mnov4307	North	2		
Mnov4308	North	2		
Mnov4309	North	2		
Mnov4310	North	2		
Mnov4311	North	2		
Mnov4312	North	2		
Mnov4313	North	2		
Mnov4314	North	2		
Mnov4315	North	2		
Mnov4316	North	2		
Mnov4317	North	2		
Mnov4318	North	2		
Mnov4319	North	2		
Mnov4320	North	2		
Mnov4321	North	2		
Mnov4322	North	2		
Mnov4323	North	2		
Mnov4324	North	2		
Mnov4325	North	2		
Mnov4326	North	2		
Mnov4327	North	2		
Mnov4328	North	2		
Mnov4329	North	2		
Mnov4330	North	2		
Mnov4331	North	2		
Mnov4332	North	2		
Mnov4333	North	2		
Mnov4334	North	2		
Mnov4335	North	2		
Mnov4336	North	2		
Mnov4337	North	2		
Mnov4338	North	2		
Mnov4339	North	2		
Mnov4340	North	2		
Mnov4341	North	2		
Mnov4342	North	2		
Mnov4343	North	2		
Mnov4344	North	2		
Mnov4345	North	2		
Mnov4346	North	2		
Mnov4347	North	2		
Mnov4348	North	2		
Mnov4349	North	2		
Mnov4350	North	2		
Mnov4351	North	2		
Mnov4352	North	2		
Mnov4353	North	2		
Mnov4354	North	2		
Mnov4355	North	2		
Mnov4356	North	2		
Mnov4357	North	2		
Mnov4358	North	2		
Mnov4359	North	2		
Mnov4360	North	2		
Mnov4361	North	2		
Mnov4362	North	2		
Mnov4363	North	2		
Mnov4364	North	2		
Mnov4365	North	2		
Mnov4366	North	2		
Mnov4367	North	2		
Mnov4368	North	2		
Mnov4369	North	2		
Mnov4370	North	2		
Mnov4371	North	2		
Mnov4372	North	2		
Mnov4373	North	2		
Mnov4374	North	2		
Mnov4375	North	2		
Mnov4376	North	2		
Mnov4377	North	2		
Mnov4378	North	2		
Mnov4379	North	2		
Mnov4380	North	2		
Mnov4381	North	2		
Mnov4382	North	2		
Mnov4383	North	2		
Mnov4384	North	2		
Mnov4385	North	2		
Mnov4386	North	2		
Mnov4387	North	2		
Mnov4388	North	2		
Mnov4389	North	2		
Mnov4390	North	2		
Mnov4391	North	2		
Mnov4392	North	2		
Mnov4393	North	2		
Mnov4394	North	2		
Mnov4395	North	2		
Mnov4396	North	2		
Mnov4397	North	2		
Mnov4398	North	2		
Mnov4399	North	2		
Mnov4400	North	2		
Mnov4401	North	2		
Mnov4402	North	2		
Mnov4403	North	2		
Mnov4404	North	2		
Mnov4405	North	2		
Mnov4406	North	2		
Mnov4407	North	2		
Mnov4408	North	2		
Mnov4409	North	2		
Mnov4410	North	2		
Mnov4411	North	2		
Mnov4412	North	2		
Mnov4413	North	2		
Mnov4414	North	2		
Mnov4415	North	2		
Mnov4416	North	2		
Mnov4417	North	2		
Mnov4418	North	2		
Mnov4419	North	2		
Mnov4420	North	2		
Mnov4421	North	2		
Mnov4422	North	2		
Mnov4423	North	2		
Mnov4424	North	2		
Mnov4425	North	2		
Mnov4426	North	2		
Mnov4427	North	2		
Mnov4428	North	2		
Mnov4429	North	2		
Mnov4430	North	2		
Mnov4431	North	2		
Mnov4432	North	2		
Mnov4433	North	2		
Mnov4434	North	2		
Mnov4435	North	2		
Mnov4436	North	2		
Mnov4437	North	2		
Mnov4438	North	2		
Mnov4439	North	2		
Mnov4440	North	2		
Mnov4441	North	2		
Mnov4442	North	2		
Mnov4443	North	2		
Mnov4444	North	2		
Mnov4445	North	2		
Mnov4446	North	2		
Mnov4447	North	2		
Mnov4448	North	2		
Mnov4449	North	2		
Mnov4450	North	2		
Mnov4451	North	2		
Mnov4452	North	2		
Mnov4453	North	2		
Mnov4454	North	2		
Mnov4455	North	2		
Mnov4456	North	2		
Mnov4457	North	2		
Mnov4458	North	2		
Mnov4459	North	2		
Mnov4460	North	2		
Mnov4461	North	2		
Mnov4462	North	2		
Mnov4463	North	2		
Mnov4464	North	2		
Mnov4465	North	2		
Mnov4466	North	2		
Mnov4467	North	2		
Mnov4468	North	2		
Mnov4469	North	2		
Mnov4470	North	2		
Mnov4471	North	2		
Mnov4472	North	2		
Mnov4473	North	2		
Mnov4474	North	2		
Mnov4475	North	2		
Mnov4476	North	2		
Mnov4477	North	2		
Mnov4478	North	2		
Mnov4479	North	2		
Mnov4480	North	2		
Mnov4481	North	2		
Mnov4482	North	2		
Mnov4483	North	2		
Mnov4484	North	2		
Mnov4485	North	2		
Mnov4486	North	2		
Mnov4487	North	2		